entidad,municipio,cabecera,lat,lon,poblacion_total,poblacion_femenina,poblacion_masculina,pob_0_14,pob_15_64,pob_65_mas,grado_escolaridad,pea,pob_lengua_indigena,viviendas_totales,promedio_ocupantes_vivienda,pob_sin_afiliacion_salud
Aguascalientes,Aguascalientes,Aguascalientes,21.87982,-102.29605,948990,486917,462073,240583,639532,67941,10.84,486675,1839,313256,3.54,173199
Aguascalientes,Asientos,Villa Juárez,22.09556,-102.07079,51536,26275,25261,16266,31919,3331,8.54,21440,22,15353,4.1,7590
Aguascalientes,Calvillo,Calvillo,21.84691,-102.71875,58250,29687,28563,16720,35854,5641,8.05,25976,76,20842,3.74,11832
Aguascalientes,Cosío,Cosío,22.36641,-102.30004,17000,8708,8292,5183,10699,1118,9.08,7010,7,4845,4.32,2347
Aguascalientes,El Llano,Palo Alto,21.91887,-101.96531,20853,10407,10446,6249,13211,1392,8.49,8668,13,6598,3.91,4387
Aguascalientes,Jesús María,Jesús María,21.96127,-102.34342,129929,65710,64219,38303,84949,6538,10.22,65839,158,41550,3.91,27299
Aguascalientes,Pabellón de Arteaga,Pabellón de Arteaga,22.1492,-102.27654,47646,24269,23377,14140,30491,2977,9.77,22097,52,13541,4.15,8858
Aguascalientes,Rincón de Romos,Rincón de Romos,22.22923,-102.32307,57369,29268,28101,17703,35926,3579,9.6,26694,213,16527,4.22,11395
Aguascalientes,San Francisco de los Romo,San Francisco de los Romo,22.07239,-102.27268,61997,31292,30705,20157,39408,2306,9.21,29512,120,21458,3.78,10574
Aguascalientes,San José de Gracia,San José de Gracia,22.15022,-102.41563,9552,5020,4532,3033,5838,681,9.24,3834,21,3410,4.01,1249
Aguascalientes,Tepezalá,Tepezalá,22.22423,-102.16697,22485,11371,11114,6858,14007,1566,8.56,9185,18,6592,4.14,3358
Baja California,Ensenada,Ensenada,31.80894,-116.59513,443807,222500,221307,103674,304500,35220,10.34,231560,11753,171203,3.15,77808
Baja California,Mexicali,Mexicali,32.64118,-115.47558,1049792,520544,529248,234367,734081,80587,10.53,548784,5920,385642,3.16,190666
Baja California,Playas de Rosarito,Playas de Rosarito,32.36368,-117.05446,126890,62504,64386,29326,87401,9530,9.58,67128,1189,49770,3.31,35648
Baja California,San Quintín,Lázaro Cárdenas,30.52598,-115.93195,117568,57790,59778,36132,76391,4961,7.83,59205,17250,40899,3.57,31154
Baja California,Tecate,Tecate,32.57268,-116.62655,108440,51310,57130,25657,74969,7576,9.79,52804,690,42401,3.3,19715
Baja California,Tijuana,Tijuana,32.53246,-117.01891,1922523,953783,968740,449147,1359876,107406,10.18,1051417,12328,636034,3.31,481326
Baja California Sur,Comondú,Ciudad Constitución,25.03464,-111.67334,73021,36217,36804,17812,48719,6449,9.27,35847,845,27446,3.26,8554
Baja California Sur,La Paz,La Paz,24.14874,-110.30659,292241,146438,145803,64197,203031,24109,11.07,154830,3183,116231,3.18,41161
Baja California Sur,Loreto,Loreto,26.01278,-111.34333,18052,8795,9257,4532,12212,1286,9.99,9069,206,7810,3.18,2378
Baja California Sur,Los Cabos,Cabo San Lucas,22.89702,-109.92519,351111,170167,180944,93513,242624,12209,10.17,194484,6348,121645,3.44,67586
Baja California Sur,Mulegé,Santa Rosalía,27.33687,-112.26827,64022,30951,33071,16999,42453,4460,9.13,33050,2999,26741,3.24,9591
Campeche,Calakmul,Xpujil,18.50537,-89.39728,31714,15613,16101,11278,18621,1804,7.43,15391,7562,10343,3.95,7855
Campeche,Calkiní,Calkiní,20.37123,-90.05074,59232,30062,29170,15423,38406,5311,9.4,30100,26816,19433,3.87,10632
Campeche,Campeche,San Francisco de Campeche,19.84481,-90.53965,294077,152522,141555,67071,201182,25297,10.72,149442,13151,101576,3.44,57005
Campeche,Candelaria,Candelaria,18.18345,-91.04629,46913,23239,23674,15039,28478,3314,7.25,23643,2842,17817,3.53,15220
Campeche,Carmen,Ciudad del Carmen,18.63779,-91.83645,248845,125802,123043,60958,169105,15332,10.26,125297,3541,88379,3.44,57600
Campeche,Champotón,Champotón,19.35622,-90.72389,78170,39140,39030,22355,49988,5779,8.12,37660,6699,26787,3.64,18824
Campeche,Escárcega,Escárcega,18.60431,-90.732,59923,30455,29468,18061,37749,4090,8.18,29123,3177,22289,3.56,13457
Campeche,Hecelchakán,Hecelchakán,20.17697,-90.13452,31917,16204,15713,8551,20759,2607,9.27,15272,10969,10058,3.85,7095
Campeche,Hopelchén,Hopelchén,19.74555,-89.84504,42140,20812,21328,13067,25858,3155,7.5,20160,14561,12573,4.11,9503
Campeche,Palizada,Palizada,18.2536,-92.0909,8683,4260,4423,2442,5379,862,8.46,3919,67,3349,3.41,1231
Campeche,Seybaplaya,Seybaplaya,19.6392,-90.6883,15297,7660,7637,3753,10182,1361,9,6775,437,5109,3.58,2757
Campeche,Tenabo,Tenabo,20.03968,-90.22576,11452,5655,5797,3120,7406,926,8.75,5825,1979,3921,3.74,2125
Chiapas,Acacoyagua,Acacoyagua,15.34097,-92.67462,17994,8997,8997,6112,10572,1310,7.12,7954,45,5459,4.08,6089
Chiapas,Acala,Acala,16.55167,-92.80751,21187,10773,10414,6404,13153,1630,7.26,9515,1593,7179,3.9,7273
Chiapas,Acapetahua,Acapetahua,15.28284,-92.68913,26899,13714,13185,7977,16522,2397,7.15,12479,34,9482,3.53,10790
Chiapas,Aldama,Aldama,16.91782,-92.68819,8480,4440,4040,3758,4472,250,5.79,2368,7731,1939,5.13,1180
Chiapas,Altamirano,Altamirano,16.73592,-92.03859,36160,18128,18032,12608,21086,1563,6.05,15018,20677,10020,4.53,8569
Chiapas,Amatenango de la Frontera,El Pacayal,15.59804,-92.04134,31735,16307,15428,10600,18756,2376,6.55,12578,545,9806,4.19,7027
Chiapas,Amatenango del Valle,Amatenango del Valle,16.5285,-92.43549,11283,5910,5373,3989,6718,576,5.15,4453,7514,2919,4.41,2998
Chiapas,Amatán,Amatán,17.37285,-92.81912,24512,12184,12328,8828,14415,1269,6.58,10610,6031,6597,4.32,7257
Chiapas,Angel Albino Corzo,Jaltenango de la Paz (Ángel Albino Corzo),15.87264,-92.72508,31947,16042,15905,10662,19357,1928,6.66,14689,972,9702,4.37,8639
Chiapas,Arriaga,Arriaga,16.23606,-93.89947,41135,21181,19954,10562,26233,4340,8.45,20978,193,15702,3.32,16554
Chiapas,Bejucal de Ocampo,Ojo de Agua Centro,15.49764,-92.173,7365,3713,3652,2582,4236,547,6.49,2897,18,1962,4.7,1524
Chiapas,Bella Vista,Bella Vista,15.583,-92.24485,20157,10155,10002,6786,11768,1603,6.84,9362,129,6160,4.46,2559
Chiapas,Benemérito de las Américas,Benemérito de las Américas,16.51583,-90.6533,23603,11789,11814,8857,13698,1015,6.6,10269,5448,6950,4.29,11706
Chiapas,Berriozábal,Berriozábal,16.80032,-93.27327,64632,32718,31914,20377,40864,3388,8.1,30644,2441,23549,3.98,27606
Chiapas,Bochil,Bochil,16.99638,-92.89022,37263,19055,18208,13125,20022,1500,7.46,14619,15165,10230,4.4,10474
Chiapas,Cacahoatán,Cacahoatán,14.98979,-92.16811,50112,25685,24427,15538,30585,3989,8.26,22344,1314,15017,4.11,21579
Chiapas,Capitán Luis Ángel Vidal,Capitán Luis Ángel Vidal,15.60113,-92.6291,4315,2041,2274,1514,2584,217,6.32,1516,12,1045,5.36,387
Chiapas,Catazajá,Catazajá,17.72832,-92.01637,17619,8737,8882,4577,11073,1969,7.54,7650,464,5888,3.65,6936
Chiapas,Chalchihuitán,Chiquinshulum,17.07288,-92.59879,21915,11042,10873,9964,11381,566,4.91,5969,19496,7135,4.55,5438
Chiapas,Chamula,Chamula,16.7875,-92.68917,101967,55019,46948,40999,56336,4630,4.37,31150,92158,29553,4.5,19556
Chiapas,Chanal,Chanal,16.66006,-92.25994,13678,6944,6734,6617,6496,564,6.33,3156,12088,3046,6.23,1894
Chiapas,Chapultenango,Chapultenango,17.3404,-93.13008,7472,3737,3735,2441,4471,560,7.69,2520,5563,2094,4.28,1396
Chiapas,Chenalhó,Chenalhó,16.89428,-92.62615,47371,24177,23194,19416,26453,1499,4.89,12290,42234,11570,4.98,9628
Chiapas,Chiapa de Corzo,Chiapa de Corzo,16.70796,-93.01596,112075,56909,55166,31734,72958,6999,8.9,52079,4139,39208,3.77,47452
Chiapas,Chiapilla,Chiapilla,16.57049,-92.72003,6156,3050,3106,1656,4012,488,6.14,2457,173,2089,3.78,1458
Chiapas,Chicoasén,Chicoasén,16.96725,-93.10523,5402,2701,2701,1657,3339,406,7.37,1836,420,1972,3.66,2095
Chiapas,Chicomuselo,Chicomuselo,15.74494,-92.28329,36785,18646,18139,12102,22189,2494,6.3,14768,263,11400,4.17,8089
Chiapas,Chilón,Chilón,17.10549,-92.27153,137262,69945,67317,56745,75546,4944,6.07,71133,118998,31087,5.13,33531
Chiapas,Cintalapa,Cintalapa de Figueroa,16.69868,-93.72043,88106,44429,43677,25876,55144,7033,8.04,39985,6023,27322,3.98,40968
Chiapas,Coapilla,Coapilla,17.13079,-93.15902,9900,5027,4873,3363,5848,689,6.96,4194,1034,3101,4.03,1948
Chiapas,Comitán de Domínguez,Comitán de Domínguez,16.25246,-92.13584,166178,86738,79440,46496,108466,11105,8.55,83914,6388,56783,3.73,69581
Chiapas,Copainalá,Copainalá,17.09361,-93.21056,22192,11346,10846,6676,13587,1929,7.84,9640,1975,7830,3.66,7131
Chiapas,El Bosque,El Bosque,17.06221,-92.72141,24273,12562,11711,9452,13889,932,5.91,6205,21106,5701,4.8,3649
Chiapas,El Parral,El Parral,16.36623,-93.00671,15587,7996,7591,4437,9734,1412,7.09,6764,587,5371,3.65,5139
Chiapas,El Porvenir,El Porvenir de Velasco Suárez,15.45637,-92.27964,12263,6159,6104,4408,6923,891,7.34,4915,269,3129,5.1,543
Chiapas,Emiliano Zapata,20 de Noviembre,16.53917,-92.89672,10783,5412,5371,2983,6898,902,7.47,4908,2106,3604,3.8,3979
Chiapas,Escuintla,Escuintla,15.31927,-92.65856,30896,15682,15214,9876,18452,2568,7.52,13425,111,10147,3.92,9845
Chiapas,Francisco León,San Miguel la Sardina,17.29557,-93.35291,7245,3572,3673,2529,4328,388,6.4,1942,4650,1804,4.79,1969
Chiapas,Frontera Comalapa,Frontera Comalapa,15.66016,-92.14105,80897,41738,39159,25351,50211,5295,7.16,36868,1455,27745,4.01,32799
Chiapas,Frontera Hidalgo,Frontera Hidalgo,14.77784,-92.17598,14556,7380,7176,4535,9002,1019,7.84,6869,77,4447,3.91,6202
Chiapas,Honduras de la Sierra,La Soledad,15.57646,-92.48697,11650,5753,5897,4192,6813,645,6.17,5314,7,2971,4.97,1673
Chiapas,Huehuetán,Huehuetán,15.01852,-92.38418,36333,18622,17711,10613,22823,2873,8.13,17574,71,11713,3.8,15030
Chiapas,Huitiupán,Huitiupán,17.17323,-92.68593,27893,13898,13995,10274,16128,1491,6.16,11693,13860,7082,4.44,9281
Chiapas,Huixtla,Huixtla,15.13829,-92.46582,53242,27163,26079,15202,33771,4263,8.34,24409,597,17713,3.68,22923
Chiapas,Huixtán,Huixtán,16.71215,-92.4546,22975,11711,11264,8497,12992,1483,6.3,10230,19811,5654,4.99,3746
Chiapas,Ixhuatán,Ixhuatán,17.29327,-93.00838,11377,5838,5539,4167,6526,684,7.11,4315,4004,3234,4.34,1199
Chiapas,Ixtacomitán,Ixtacomitán,17.43079,-93.09657,10961,5542,5419,3517,6685,759,8.45,5417,2106,3245,4.12,3855
Chiapas,Ixtapa,Ixtapa,16.80353,-92.9059,28999,14713,14286,9559,17866,1574,7.09,11690,5308,7258,4.7,6050
Chiapas,Ixtapangajoya,La Gloria,17.4425,-92.95311,6284,3162,3122,1939,3928,412,6.98,2146,794,1810,4.03,2194
Chiapas,Jiquipilas,Jiquipilas,16.66772,-93.65048,41063,20693,20370,11519,24971,4573,7.74,19817,2368,14323,3.64,13835
Chiapas,Jitotol,Jitotol,17.06797,-92.86234,24966,12539,12427,9594,13230,993,7.24,10057,15704,6627,4.58,6548
Chiapas,Juárez,Juárez,17.60815,-93.19333,21807,11035,10772,6271,13582,1954,7.85,9578,1231,7500,3.57,8325
Chiapas,La Concordia,La Concordia,16.11672,-92.68793,49920,24787,25133,15678,30667,3565,6.52,22331,3561,15492,4.07,11039
Chiapas,La Grandeza,La Grandeza,15.51013,-92.22588,7701,3936,3765,2826,4318,557,7.63,2683,39,1968,5,1324
Chiapas,La Independencia,Venustiano Carranza,16.19086,-91.92879,46409,23832,22577,14172,29209,3024,6.01,24018,2128,12735,4.18,7434
Chiapas,La Libertad,La Libertad,17.69014,-91.71906,5232,2625,2607,1331,3287,614,7.56,2586,162,1994,3.3,2264
Chiapas,La Trinitaria,La Trinitaria,16.11906,-92.05047,83111,42999,40112,25510,51183,6414,6.34,39389,7822,26435,3.98,17204
Chiapas,Larráinzar,Larráinzar,16.88445,-92.71326,31259,16055,15204,14143,16071,1040,6.32,9512,27767,7419,5.2,5682
Chiapas,Las Margaritas,Las Margaritas,16.31595,-91.98157,141027,72136,68891,47722,83534,7216,6.22,76315,61216,33663,4.88,24317
Chiapas,Las Rosas,Las Rosas,16.36413,-92.36958,28829,14695,14134,8976,17957,1896,6.06,14010,1655,8989,3.99,8548
Chiapas,Mapastepec,Mapastepec,15.44113,-92.89161,46130,23349,22781,13893,28370,3863,7.13,22343,155,16797,3.61,16544
Chiapas,Maravilla Tenejapa,Maravilla Tenejapa,16.1404,-91.2951,14714,7382,7332,5884,8213,617,5.68,4318,5631,3702,4.96,1953
Chiapas,Marqués de Comillas,Zamora Pico de Oro,16.33313,-90.76528,12892,6394,6498,4903,7428,561,6.21,4835,4637,3626,4.44,2622
Chiapas,Mazapa de Madero,Mazapa de Madero,15.38797,-92.18773,7901,4006,3895,2729,4414,758,6.84,2648,258,2202,4.66,816
Chiapas,Mazatán,Mazatán,14.86303,-92.44947,28250,14233,14017,8155,17628,2467,7.69,13647,79,9529,3.6,9527
Chiapas,Metapa,Metapa de Domínguez,14.83731,-92.19094,5876,3120,2756,1672,3627,505,8.58,2361,20,1944,3.73,2474
Chiapas,Mezcalapa,Raudales Malpaso,17.18922,-93.60477,23847,12148,11699,8173,14106,1552,6.89,10079,5395,7300,4.09,8520
Chiapas,Mitontic,Tzoeptic,16.88359,-92.56844,13755,7022,6733,6302,7079,374,4.47,2119,12129,3500,5.02,882
Chiapas,Montecristo de Guerrero,Montecristo de Guerrero,15.69392,-92.61926,8412,4197,4215,3069,4902,441,6.39,3148,128,2430,4.6,1110
Chiapas,Motozintla,Motozintla de Mendoza,15.36317,-92.24774,76398,38973,37425,26304,44886,5202,7.21,33379,889,21794,4.59,15653
Chiapas,Nicolás Ruíz,Nicolás Ruíz,16.43707,-92.58535,4765,2325,2440,1634,2897,234,6.22,1333,22,1246,4.54,367
Chiapas,Ocosingo,Ocosingo,16.90804,-92.09583,234661,118892,115769,89669,133941,8862,6.59,102761,158867,57036,4.99,69206
Chiapas,Ocotepec,Ocotepec,17.22503,-93.16441,14088,7209,6879,6006,7313,769,5.63,3898,12385,3899,4.79,2783
Chiapas,Ocozocoautla de Espinosa,Ocozocoautla de Espinosa,16.76146,-93.37565,97397,49327,48070,31247,60270,5866,7.51,45789,15084,30125,4.06,41585
Chiapas,Ostuacán,Ostuacán,17.40559,-93.33714,18469,9281,9188,6274,10936,1259,7.28,7747,682,5566,4.12,5655
Chiapas,Osumacinta,Osumacinta,16.93547,-93.09134,3983,2004,1979,1241,2474,263,7.91,1296,406,1351,3.82,644
Chiapas,Oxchuc,Oxchuc,16.78612,-92.33492,54932,27418,27514,23466,29144,2322,7.15,13965,47883,12795,5.42,4046
Chiapas,Palenque,Palenque,17.50913,-91.98103,132265,67189,65076,43195,81583,7156,7.81,67435,51052,43025,3.91,48900
Chiapas,Pantelhó,Pantelhó,17.00666,-92.46958,26391,13441,12950,11096,14364,918,4.66,7715,22342,5973,5.33,7260
Chiapas,Pantepec,Pantepec,17.18809,-93.04955,12266,6212,6054,4319,7212,735,6.46,5472,4274,3674,4.15,2368
Chiapas,Pichucalco,Pichucalco,17.50855,-93.11777,31919,16267,15652,8986,20382,2536,8.45,15331,574,10578,3.7,14554
Chiapas,Pijijiapan,Pijijiapan,15.69167,-93.20932,51193,26082,25111,14518,31756,4915,7.4,25205,401,19104,3.43,18797
Chiapas,Pueblo Nuevo Solistahuacán,Pueblo Nuevo Solistahuacán,17.15757,-92.89732,29636,15204,14432,11406,16911,1287,6.53,12055,8878,7551,4.51,7832
Chiapas,Rayón,Rayón,17.2005,-93.01122,10866,5518,5348,3815,6458,593,7.59,5072,3492,3037,4.42,2373
Chiapas,Reforma,Reforma,17.86581,-93.14711,44829,22921,21908,13995,28058,2771,8.91,20015,257,16258,3.58,15074
Chiapas,Rincón Chamula San Pedro,Rincón Chamula,17.20947,-92.93757,8718,4691,4027,3618,4724,376,5.36,2900,6981,2294,4.72,2206
Chiapas,Sabanilla,Sabanilla,17.28348,-92.55172,29889,14968,14921,10611,17680,1598,6.72,13545,20287,8244,4.41,4356
Chiapas,Salto de Agua,Salto de Agua,17.55702,-92.33342,64251,32405,31846,21730,38691,3830,6.52,33844,49491,17284,4.32,11709
Chiapas,San Andrés Duraznal,San Andrés Duraznal,17.132,-92.80499,6047,3119,2928,2535,3261,251,4.99,1688,5187,1589,4.61,971
Chiapas,San Cristóbal de las Casas,San Cristóbal de las Casas,16.73702,-92.63756,215874,113582,102292,61981,143178,10562,9.4,114942,66819,65980,4.08,96596
Chiapas,San Fernando,San Fernando,16.87171,-93.20628,41793,20921,20872,12560,26636,2589,7.28,19479,990,13024,3.99,14670
Chiapas,San Juan Cancuc,San Juan Cancuc,16.89224,-92.37195,37948,19431,18517,17018,19720,1206,5.4,8783,34101,8207,5.45,6357
Chiapas,San Lucas,San Lucas,16.61164,-92.71934,7526,3734,3792,2682,4408,436,5.98,3057,1121,2492,4.11,1516
Chiapas,Santiago el Pinar,Santiago el Pinar,16.94144,-92.7146,4959,2508,2451,2174,2645,140,5.67,1327,4432,1101,5.44,353
Chiapas,Siltepec,Siltepec,15.55719,-92.32286,25937,12911,13026,9457,14798,1682,6.78,9303,61,6667,4.98,2893
Chiapas,Simojovel,Simojovel de Allende,17.14083,-92.71521,52935,27047,25888,21661,29201,2029,6.07,20972,35497,12472,4.93,15022
Chiapas,Sitalá,Sitalá,17.02505,-92.30774,15518,7894,7624,6474,8510,534,4.52,3872,13559,4008,4.78,4116
Chiapas,Socoltenango,Socoltenango,16.24295,-92.35032,19092,9679,9413,5702,12009,1381,6.35,7889,1166,6390,3.77,3587
Chiapas,Solosuchiapa,Solosuchiapa,17.42866,-93.03118,8561,4217,4344,2917,5040,604,7.09,3524,1475,2533,4.13,2322
Chiapas,Soyaló,Soyaló,16.89099,-92.92529,10890,5425,5465,3595,6615,680,6.9,4272,3334,3246,4.24,1920
Chiapas,Suchiapa,Suchiapa,16.62196,-93.10479,25627,12871,12756,7620,16322,1682,8.67,10831,151,8237,4.03,10094
Chiapas,Suchiate,Ciudad Hidalgo,14.67945,-92.15094,41672,21191,20481,13396,25821,2453,6.78,20748,127,13591,3.77,20757
Chiapas,Sunuapa,Sunuapa,17.48938,-93.24317,2308,1133,1175,754,1382,172,7.69,843,12,724,4.11,677
Chiapas,Tapachula,Tapachula de Córdova y Ordóñez,14.91107,-92.26432,353706,182096,171610,97458,227836,25575,9.33,166216,3432,121813,3.64,150537
Chiapas,Tapalapa,Tapalapa,17.19005,-93.1046,4547,2338,2209,1600,2551,396,7.07,1427,3865,1554,4.04,1005
Chiapas,Tapilula,Tapilula,17.2484,-93.01626,13592,7030,6562,4302,8388,902,8.48,5455,1143,4389,3.9,3195
Chiapas,Tecpatán,Tecpatán,17.137,-93.31147,21426,10762,10664,6668,13005,1752,6.86,8937,3803,7408,3.67,13082
Chiapas,Tenejapa,Tzajalchén,16.84079,-92.46005,48162,24854,23308,19937,26210,2015,5.86,14850,43341,11209,5.23,6839
Chiapas,Teopisca,Teopisca,16.54151,-92.4726,49499,25555,23944,17908,29220,2371,5.59,22553,20712,14858,4.43,15614
Chiapas,Tila,Tila,17.30063,-92.42586,83505,41804,41701,25527,41867,4339,6.47,38008,63392,20775,4.63,20456
Chiapas,Tonalá,Tonalá,16.09136,-93.75178,91913,46632,45281,25307,58493,8104,8.47,45033,342,31835,3.59,35570
Chiapas,Totolapa,Totolapa,16.54473,-92.68038,7211,3571,3640,2374,4420,417,5.87,2452,594,2258,4.16,1577
Chiapas,Tumbalá,Joshil,17.24699,-92.36272,38025,19518,18507,13701,22024,2300,6.17,11747,34014,9535,4.74,6912
Chiapas,Tuxtla Chico,Tuxtla Chico,14.94019,-92.16897,41024,21247,19777,11741,25926,3353,8.54,18042,86,13413,3.86,17765
Chiapas,Tuxtla Gutiérrez,Tuxtla Gutiérrez,16.75397,-93.11519,604147,316623,287524,145953,413489,42523,11.04,308596,12976,208847,3.63,246148
Chiapas,Tuzantán,Tuzantán,15.14606,-92.42162,30302,15402,14900,9477,18441,2384,7.49,13653,142,9553,3.93,14506
Chiapas,Tzimol,Tzimol,16.18423,-92.18794,16560,8442,8118,4597,10581,1382,6.45,7649,307,5774,3.54,4124
Chiapas,Unión Juárez,Santo Domingo,15.03054,-92.10522,16008,8161,7847,4661,9744,1599,8.13,6318,159,4962,4.06,5272
Chiapas,Venustiano Carranza,Venustiano Carranza,16.33962,-92.56514,67292,33793,33499,19917,42499,4810,6.59,33289,15043,22524,3.76,21422
Chiapas,Villa Comaltitlán,Villa Comaltitlán,15.21194,-92.57602,30297,14719,15578,9048,18712,2535,7.27,13026,191,9572,3.79,13415
Chiapas,Villa Corzo,Villa Corzo,16.18475,-93.26768,65643,33298,32345,20129,40601,4899,7.35,30995,5418,20951,3.9,27864
Chiapas,Villaflores,Villaflores,16.23549,-93.26771,109536,55728,53808,31123,69626,8763,8.07,53176,2924,36061,3.74,40087
Chiapas,Yajalón,Yajalón,17.17391,-92.33394,40285,20695,19590,13861,24130,2282,6.91,19131,23718,10465,4.59,13975
Chiapas,Zinacantán,Zinacantán,16.76012,-92.72358,45373,24258,21115,16480,26803,2089,4.57,14989,41485,10955,4.95,7842
Chihuahua,Ahumada,Miguel Ahumada,30.61773,-106.51242,14635,7258,7377,4689,9015,927,7.78,6829,80,5407,3.46,2258
Chihuahua,Aldama,Juan Aldama,28.83838,-105.91129,26047,13205,12842,6863,17057,2125,9.41,12536,286,11514,3.15,2071
Chihuahua,Allende,Valle de Ignacio Allende,26.93943,-105.39508,8487,4231,4256,1944,5322,1221,9.13,3756,172,4242,3.09,1512
Chihuahua,Aquiles Serdán,Santa Eulalia,28.5945,-105.88747,24344,10850,13494,6373,17219,667,9.15,12133,249,9277,3.01,5219
Chihuahua,Ascensión,Ascensión,31.09218,-107.99595,26093,12862,13231,7929,16304,1774,7.76,11861,506,10891,3.29,8329
Chihuahua,Bachíniva,Bachíniva,28.76473,-107.25436,5807,2865,2942,1377,3547,882,6.88,2749,247,2978,2.89,748
Chihuahua,Balleza,Mariano Balleza,26.95411,-106.34692,16440,8298,8142,5552,9559,1329,5.38,4720,7681,6731,3.78,2395
Chihuahua,Batopilas de Manuel Gómez Morín,Batopilas de Manuel Gómez Morín,27.02665,-107.73971,11270,5673,5597,4353,6168,748,3.59,2889,6200,4399,3.98,1434
Chihuahua,Bocoyna,San Juanito,27.97,-107.60028,23351,12373,10978,6859,14599,1890,7.93,10988,3129,11789,3.06,2740
Chihuahua,Buenaventura,San Buenaventura,29.84341,-107.47131,25146,12637,12509,7328,15734,2071,7.87,11360,979,10641,3.21,5257
Chihuahua,Camargo,Santa Rosalía de Camargo,27.69496,-105.17162,49499,25052,24447,12240,32560,4672,9.49,24371,981,19467,3.15,7007
Chihuahua,Carichí,Carichí,27.91653,-107.05681,8113,4117,3996,2668,4559,886,4.63,2333,3750,3849,3.63,1598
Chihuahua,Casas Grandes,Casas Grandes,30.3757,-107.94881,11815,5790,6025,3258,7342,1205,8.5,5100,324,5427,3.18,2817
Chihuahua,Chihuahua,Chihuahua,28.63679,-106.07631,937674,480434,457240,209881,648462,77343,11.42,489840,9439,350905,3.11,102281
Chihuahua,Chínipas,Chínipas de Almada,27.39281,-108.53623,6222,3066,3156,1869,3753,586,7.14,2366,777,2682,3.47,763
Chihuahua,Coronado,José Esteban Coronado,26.73762,-105.15831,2034,975,1059,483,1207,334,8,814,9,1046,3.02,219
Chihuahua,Coyame del Sotol,Santiago de Coyame,29.46204,-105.09436,1230,597,633,267,746,192,6.97,491,16,926,2.76,77
Chihuahua,Cuauhtémoc,Cuauhtémoc,28.40631,-106.86604,180638,92221,88417,47319,119369,13615,9.4,88194,2921,68221,3.15,23702
Chihuahua,Cusihuiriachi,Los Álamos de Cerro Prieto,28.18762,-107.10247,5099,2439,2660,1214,3203,682,6.64,2014,305,2824,3,609
Chihuahua,Delicias,Delicias,28.19295,-105.47105,150506,76679,73827,37504,100033,12923,10.2,74743,811,57503,3.15,19931
Chihuahua,Dr. Belisario Domínguez,Tutuaca (Santa Bárbara de Tutuaca),28.02825,-106.53665,2456,1212,1244,414,1381,661,6.63,888,141,2033,2.56,189
Chihuahua,El Tule,El Tule,27.05361,-106.26625,1448,722,726,323,879,246,6.87,405,31,779,3.07,250
Chihuahua,Galeana,Abdenago C. García (Lagunitas),29.99274,-107.5533,6656,3357,3299,2340,3908,401,7.36,2627,412,2306,3.66,2240
Chihuahua,Gran Morelos,San Nicolás de Carretas,28.24782,-106.51012,2448,1197,1251,443,1436,569,6.9,892,59,1771,2.68,201
Chihuahua,Guachochi,Guachochi,26.81915,-107.06936,50180,25882,24298,16768,30256,3152,6.71,25762,26414,20136,3.67,7852
Chihuahua,Guadalupe,Guadalupe,31.39011,-106.10175,4237,2104,2133,1086,2737,414,7.95,1750,3,2917,3.06,602
Chihuahua,Guadalupe y Calvo,Guadalupe y Calvo,26.09452,-106.96437,50514,25336,25178,18731,28974,2809,5.86,22218,15912,17442,4.11,7143
Chihuahua,Guazapares,Témoris,27.27638,-108.27996,8196,4091,4105,2919,4600,677,6.52,3141,1991,3075,3.69,1319
Chihuahua,Guerrero,La Junta,28.47744,-107.33241,35473,17771,17702,9184,22183,4097,7.75,16940,1042,17065,2.99,5581
Chihuahua,Gómez Farías,Valentín Gómez Farías,29.35702,-107.73865,7023,3558,3465,1680,4252,1091,8,3072,28,4196,2.75,539
Chihuahua,Hidalgo del Parral,Hidalgo del Parral,26.92209,-105.66714,116662,60415,56247,29150,76738,10669,10.34,54427,972,41166,3.38,13883
Chihuahua,Huejotitán,Huejotitán,27.05467,-106.17946,824,413,411,203,468,153,6.95,294,11,444,2.93,42
Chihuahua,Ignacio Zaragoza,Ignacio Zaragoza,29.64321,-107.76419,5196,2591,2605,1106,3177,913,7.47,2510,11,3330,2.66,448
Chihuahua,Janos,Janos,30.88726,-108.18985,11005,5245,5760,3433,6709,844,6.95,4610,458,4576,3.38,2869
Chihuahua,Jiménez,José Mariano Jiménez,27.13055,-104.92298,40859,20671,20188,11302,25991,3557,9.55,18215,455,14624,3.45,5114
Chihuahua,Julimes,Julimes,28.42306,-105.43056,4980,2463,2517,1231,3114,629,7.93,2288,29,2467,2.95,384
Chihuahua,Juárez,Juárez,31.74647,-106.48502,1512450,755473,756977,380302,1042232,85438,10.18,785054,8160,520392,3.35,281293
Chihuahua,La Cruz,La Cruz,27.86389,-105.19639,3704,1823,1881,902,2346,456,8.45,1243,74,1674,3.17,378
Chihuahua,López,Octaviano López,27.0025,-105.03306,4122,2005,2117,1027,2498,597,8.59,1563,168,1939,3.13,235
Chihuahua,Madera,Madera,29.19,-108.14139,25144,12738,12406,6710,15490,2793,7.99,10957,336,12350,3.09,3200
