entidad,municipio,cabecera,lat,lon,poblacion_total,poblacion_femenina,poblacion_masculina,pob_0_14,pob_15_64,pob_65_mas,grado_escolaridad,pea,pob_lengua_indigena,viviendas_totales,promedio_ocupantes_vivienda,pob_sin_afiliacion_salud
Yucatán,Chichimilá,Chichimilá,20.63127,-88.2174,9406,4631,4775,3059,5692,655,7.65,3763,7220,2675,4.57,2137
Yucatán,Chicxulub Pueblo,Chicxulub Pueblo,21.13729,-89.51508,4497,2218,2279,1042,3042,413,9.2,1960,305,1724,3.43,1509
Yucatán,Chikindzonot,Chikindzonot,20.33366,-88.48649,4363,2171,2192,1369,2671,323,6.82,1725,3831,1329,4.27,105
Yucatán,Chocholá,Chocholá,20.75023,-89.8307,4863,2373,2490,1132,3228,503,8.66,2394,1121,1878,3.34,886
Yucatán,Chumayel,Chumayel,20.42953,-89.30252,3244,1647,1597,824,2068,352,6.56,1422,2475,1228,3.63,274
Yucatán,Conkal,Conkal,21.07389,-89.52128,16671,8501,8170,3803,11548,1319,11.24,8579,1474,6507,3.34,3938
Yucatán,Cuncunul,Cuncunul,20.64116,-88.29663,1714,829,885,454,1098,162,7.9,640,1126,582,3.89,249
Yucatán,Cuzamá,Cuzamá,20.74148,-89.31696,5560,2739,2821,1379,3738,443,7.27,2683,2606,1791,3.67,1119
Yucatán,Dzemul,Dzemul,21.2115,-89.30881,3622,1825,1797,755,2398,469,8.33,1534,679,1842,3.32,656
Yucatán,Dzidzantún,Dzidzantún,21.24668,-89.04297,8345,4134,4211,1750,5476,1083,9.41,3792,439,3475,3.34,1545
Yucatán,Dzilam González,Dzilam González,21.28012,-88.92974,6240,3067,3173,1368,4079,780,7.9,2692,619,2584,3.25,2041
Yucatán,Dzilam de Bravo,Dzilam de Bravo,21.39323,-88.89188,2936,1462,1474,743,1918,275,8.57,1078,103,1244,3.33,653
Yucatán,Dzitás,Dzitás,20.83987,-88.52782,4015,1959,2056,1119,2490,406,6.74,1748,1778,1468,3.72,428
Yucatán,Dzoncauich,Dzoncauich,21.12916,-88.89093,2818,1396,1422,661,1758,399,6.89,966,1286,1161,3.56,193
Yucatán,Dzán,Dzan,20.38776,-89.46887,6003,3064,2939,1771,3759,473,7.94,2487,3466,1844,4.07,663
Yucatán,Espita,Espita,21.01105,-88.30682,16779,8267,8512,4731,10621,1388,7.03,9185,8219,5561,3.96,2866
Yucatán,Halachó,Halachó,20.47775,-90.08223,21255,10582,10673,5546,13855,1844,7.63,10365,10437,6985,3.68,5092
Yucatán,Hocabá,Hocabá,20.81624,-89.2451,6514,3265,3249,1680,4182,652,7.26,3044,3051,2225,3.86,1133
Yucatán,Hoctún,Hoctún,20.86521,-89.20207,6384,3210,3174,1521,4183,679,6.94,2852,2394,2367,3.48,1383
Yucatán,Homún,Homún,20.73952,-89.28575,8090,4021,4069,2025,5401,664,7.38,3767,3473,2755,3.63,2232
Yucatán,Huhí,Huhí,20.72499,-89.1622,5250,2552,2698,1251,3463,507,6.95,2613,1749,2070,3.33,830
Yucatán,Hunucmá,Hunucmá,21.01615,-89.87705,35137,17680,17457,9338,23315,2468,8.18,17975,6162,11953,3.93,8032
Yucatán,Ixil,Ixil,21.153,-89.48121,4186,2086,2100,976,2851,359,8.41,2039,401,1359,3.72,1253
Yucatán,Izamal,Izamal,20.933,-89.01971,28555,14355,14200,7303,18400,2807,8.05,13889,8228,10279,3.61,5578
Yucatán,Kanasín,Kanasín,20.93464,-89.55806,141939,71527,70412,38308,97493,5906,9.13,73586,16481,52140,3.54,37361
